Year,Total_Arrivals,Tourism_Revenue_USD_thousands,Avg_Spend_Per_Day_USD,Avg_Stay_Days,Key_Event
2015,538970,455000,40,13.16,Earthquake - massive drop
2016,753002,580000,40.2,13.4,Post-earthquake recovery
2017,940218,665000,40.3,12.6,Strong growth
2018,1173072,753000,40.4,12.4,Record arrivals
2019,1197191,771000,40.5,12.7,All-time record
2020,230085,115000,38,15.1,COVID-19 pandemic
2021,150962,95000,37.5,15.5,COVID-19 continued
2022,614869,359700,40.5,13.1,Recovery begins
2023,1014882,548200,41,13.2,Strong recovery
